id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47482979,Bischoff Hotel- Heritage Rose Room,225157408,Bischoff,,Waratah/Wynyard,-41.44178,145.52556,Private room,189,1,7,2022-12-02,0.30,6,330,3,"Exempt: This listing is a hotel, motel, or caravan park"
47483043,Marion Bay Bliss,47266745,Josh,,Sorell,-42.82038,147.86802,Entire home/apt,350,2,4,2021-04-04,0.16,3,1,0,BA2017/253-1
47504978,"Port Arthur, Tasmania, self-contained eco cabin",43642578,Alison,,Tasman,-43.15525,147.80878,Entire home/apt,230,2,55,2023-02-20,2.26,2,205,33,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
47516938,"Central, comfortable & affordable. 3 beds sleeps 5",132117432,Jemma,,Latrobe,-41.1567,146.53532,Entire home/apt,154,2,107,2023-03-08,4.38,1,333,51,9/2021
47524395,"Stylish house, large private garden and views",383586318,Stephen,,Glenorchy,-42.83784,147.26132,Entire home/apt,499,1,0,,,1,0,0,Exempt: This listing falls under the 'home sharing' exemption
47536677,"Health Spa resort, Waterfront, Walk to Mona",89047106,Charles,,Glenorchy,-42.80521,147.25429,Private room,495,1,37,2023-01-27,1.54,3,362,18,Exempt: This listing falls under the 'home sharing' exemption
47541395,Quiet rural retreat 15 minutes from town,52478433,Sharree,,Devonport,-41.23316,146.29997,Entire home/apt,120,1,96,2023-03-04,4.04,1,313,64,Exempt: This listing falls under the 'home sharing' exemption
47544774,Refresh109 Superior Queen Room,381403163,Mark,,Launceston,-41.43767,147.13558,Private room,169,1,30,2023-02-24,1.15,5,346,14,"Exempt: This listing is a hotel, motel, or caravan park"
47551724,South Crescent @ Maydena,105857814,Sharni,,Derwent Valley,-42.75571,146.62743,Entire home/apt,130,2,49,2023-02-21,1.94,2,166,22,Exempt: This listing falls under the 'home sharing' exemption
47567908,Luna Lodge Tasmania - Tranquility Dome,22034829,Tom,,Sorell,-42.77656,147.67183,Entire home/apt,384,2,28,2022-05-25,1.10,2,187,2,DA2019/137-1
47568896,Luka's Cottage and Hot Tub,340146607,Julie,,Circular Head,-40.90973,145.48732,Entire home/apt,250,1,96,2023-02-24,3.71,1,326,14,"Exempt: This listing is a hotel, motel, or caravan park"
